name,logo_url,link_url,location,active
Cheap Flights to Bali,https://photonews.co.nz/content/images/2025/12/IMG_0748.GIF,https://photonews.co.nz/cftb,2186224,no
Dream Gear,https://photonews.co.nz/content/images/size/w1000/2025/12/5b4345ed-70f8-4eec-ad99-57b6eb07563d-3.png,https://dreamgear.co.nz/,all,yes
Badgers Sett,https://photonews.co.nz/content/images/size/w1000/2025/12/square-white.png,https://badgerssettnz.com/,7910071,yes
Frosty Moons,https://photonews.co.nz/content/images/size/w1000/2025/12/frosty-moons-1.jpg,https://photonews.co.nz/frosty-moons/,7910071,yes
88 putiki,https://photonews.co.nz/content/images/2025/12/88.jpg,https://eightyeightputiki.co.nz/,7910071,yes
Paige’s Book Gallery,https://photonews.co.nz/content/images/size/w1000/2025/12/paiges.png,https://www.paigesbooks.com/,7910071,yes
Sustainable Whanganui,https://photonews.co.nz/content/images/size/w1000/2025/12/SW-Logo-1-1.png,,7910071,yes
Carpet Maintenance & Cleaning Co.,https://photonews.co.nz/content/images/2025/12/logo-BLACK.png,https://www.carpetmaintenance.co.nz/,7910071,yes
Alarm Watch,https://photonews.co.nz/content/images/size/w1000/2025/12/ALARMWATCH-LOGO.png,https://alarmwatch.co.nz,all,yes
Whanganui Tech Services,https://photonews.co.nz/content/images/size/w1000/2025/12/WTC-black-1.png,https://www.whanganuitechservices.com/,7910071,yes
Whanganui UNESCO,https://photonews.co.nz/content/images/size/w1600/2025/12/Whanganui-UNESCO-City-of-Design-Tohu_Tag_Horizontal-Black.png,https://cityofdesignwhanganui.nz/,all,yes
Carpet Maintenance and Cleaning Company,https://photonews.co.nz/content/images/2026/03/CFTB9442.jpg,https://www.carpetmaintenance.co.nz/,7910071,yes
